"Name","activation","batch_size","decay","hidden_layers","learning_rate","momentum","neurons","optimizer","weight_init","val_accuracy"
"tanh_neurons=32_layers=1_lr=0.1_batch=16_opt=nag_mom=0.8_init=xavier","tanh","16","0","1","0.1","0.8","32","nag","xavier","0.8153333333333334"
"sigmoid_neurons=128_layers=1_lr=0.05_batch=128_opt=adam_mom=0.8_init=random","sigmoid","128","0.5","1","0.05","0.8","128","adam","random","0.7911666666666667"
"relu_neurons=16_layers=2_lr=0.05_batch=16_opt=nadam_mom=0.7_init=random","relu","16","0.5","2","0.05","0.7","16","nadam","random","0.406"
"tanh_neurons=128_layers=3_lr=0.0001_batch=32_opt=rmsprop_mom=0.8_init=random","tanh","32","0.0005","3","0.0001","0.8","128","rmsprop","random","0.634"
"relu_neurons=32_layers=1_lr=0.0005_batch=32_opt=adam_mom=0.9_init=xavier","relu","32","0.5","1","0.0005","0.9","32","adam","xavier","0.7771666666666667"
"relu_neurons=64_layers=2_lr=0.005_batch=16_opt=adam_mom=0.7_init=random","relu","16","0.0005","2","0.005","0.7","64","adam","random","0.5205"
"relu_neurons=64_layers=1_lr=0.01_batch=64_opt=momentum_mom=0.8_init=xavier","relu","64","0","1","0.01","0.8","64","momentum","xavier","0.8736666666666667"
"relu_neurons=64_layers=3_lr=0.1_batch=32_opt=nadam_mom=0.8_init=random","relu","32","0","3","0.1","0.8","64","nadam","random","0.0995"
"tanh_neurons=32_layers=4_lr=0.001_batch=128_opt=sgd_mom=0.7_init=xavier","tanh","128","0.5","4","0.001","0.7","32","sgd","xavier","0.09166666666666666"
"identity_neurons=16_layers=3_lr=0.0001_batch=32_opt=rmsprop_mom=0.9_init=random","identity","32","0","3","0.0001","0.9","16","rmsprop","random","0.2715"
"identity_neurons=64_layers=3_lr=0.0001_batch=16_opt=rmsprop_mom=0.8_init=xavier","identity","16","0","3","0.0001","0.8","64","rmsprop","xavier","0.8468333333333333"
"tanh_neurons=128_layers=1_lr=0.0005_batch=128_opt=sgd_mom=0.7_init=random","tanh","128","0.5","1","0.0005","0.7","128","sgd","random","0.4706666666666667"
"tanh_neurons=128_layers=1_lr=0.005_batch=128_opt=adam_mom=0.9_init=xavier","tanh","128","0.5","1","0.005","0.9","128","adam","xavier","0.8375"
"relu_neurons=64_layers=2_lr=0.0001_batch=16_opt=sgd_mom=0.8_init=random","relu","16","0.5","2","0.0001","0.8","64","sgd","random","0.614"
"identity_neurons=64_layers=2_lr=0.05_batch=16_opt=rmsprop_mom=0.8_init=xavier","identity","16","0.0005","2","0.05","0.8","64","rmsprop","xavier","0.1035"
"identity_neurons=128_layers=4_lr=0.1_batch=32_opt=rmsprop_mom=0.9_init=random","identity","32","0.5","4","0.1","0.9","128","rmsprop","random","0.09716666666666668"
"relu_neurons=32_layers=3_lr=0.0005_batch=128_opt=momentum_mom=0.8_init=random","relu","128","0.0005","3","0.0005","0.8","32","momentum","random","0.22533333333333333"
"relu_neurons=128_layers=1_lr=0.0005_batch=16_opt=adam_mom=0.9_init=xavier","relu","16","0.0005","1","0.0005","0.9","128","adam","xavier","0.8755"
"relu_neurons=128_layers=1_lr=0.0001_batch=32_opt=momentum_mom=0.7_init=random","relu","32","0.5","1","0.0001","0.7","128","momentum","random","0.45016666666666666"
"identity_neurons=128_layers=2_lr=0.0005_batch=16_opt=sgd_mom=0.7_init=random","identity","16","0.0005","2","0.0005","0.7","128","sgd","random","0.3536666666666667"
"sigmoid_neurons=32_layers=1_lr=0.005_batch=128_opt=nag_mom=0.7_init=random","sigmoid","128","0.0005","1","0.005","0.7","32","nag","random","0.6643333333333333"
"tanh_neurons=16_layers=3_lr=0.01_batch=128_opt=adam_mom=0.9_init=xavier","tanh","128","0.0005","3","0.01","0.9","16","adam","xavier","0.8491666666666666"
